01,1
018,1
029,1
05,1
07,1
071182,1
1,118
10,17
100,19
1000,1
10000,2
100000,3
10044,1
102,1
104,1
1054,1
1084,1
1086,2
109,2
11,6
1100,2
111,1
112,3
1130,1
1131,1
114,1
1151,1
116,1
117,2
12,16
120,1
1200,3
12000,2
124,1
125,4
1250,1
1256,1
12732,1
129,1
12k,1
13,9
13000,2
131,1
1328,1
132808,1
133,1
134,1
1342,1
135938,1
136,1
13676,1
138,5
1388,1
14,3
1400,1
14000,1
140000,1
1401,3
1403,1
1428,1
144,2
14592,2
1463,1
1469,1
148,1
14938,1
14th,1
15,16
150,3
1500,2
15000,1
1500000,1
153,1
154,1
1546,1
156,1
15th,1
16,7
160,1
1608,1
1665,1
167745,1
16792,1
169,1
17,7
170,1
1700,1
1723568,1
175,1
1750,1
176,1
1776,1
178,3
18,8
1836,1
1837,1
1841,1
1847,1
185,1
185000,1
1861,1
1866,1
1867,1
1868,3
1869,1
187,1
1871,1
1873,2
1874,1
1876,8
1877,1
188,1
1890,1
1893,1
1895,1
19,6
1900,2
1905,2
1907,2
191,1
1915,2
1916,2
1918,1
1919,1
1920,1
1920s,1
1921,1
1922,1
1927,2
1928,1
1929,2
1930,1
1930s,2
1931,1
1933,1
1935,2
1936,2
1937,1
1938,5
1939,1
1940,2
194000,1
1941,1
1944,1
1947,2
1948,5
1950,6
1950s,6
1951,2
1952,1
1953,1
195366,1
1954,6
1955,7
1956,7
1957,4
1958,13
1959,7
1960,11
1960s,8
1961,14
196162,1
1961b,1
1962,13
1963,18
1964,17
19646,1
196465,1
1965,24
1966,24
1967,23
1967a,1
1968,38
19681969,1
196869,2
1969,37
1970,29
197071,1
1970s,4
1971,29
1971and,1
1972,17
1973,11
1974,3
1975,7
1976,6
1980,1
1985,1
1990,1
1n,1
1the,1
2,108
20,14
200,3
2000,5
20000,1
2050,1
207,1
209,1
2099,1
21,5
21000,2
2104,1
212,1
213,1
215,2
21583,1
22,5
220,2
2207,1
2220,2
2227,1
225,2
2260,2
2267,1
23,2
2300,1
2345,1
24,4
240,1
241,1
242,1
2431,1
245,1
246,2
24953,1
24th,1
25,8
250,2
2500,1
250000,4
254,1
2545,2
26,1
261,1
262,1
2628,1
265,1
267,3
27,2
271828,1
2740,1
2741,1
275,1
276,1
27746,1
2788,1
28,2
281,1
285,1
286,1
290,2
298,2
2d,1
2x2,2
2x8,1
3,78
30,10
300,9
3000,3
30000,2
3035,1
304,1
3071,1
3073,1
31,3
3130,1
315,1
319,1
3204,1
322,1
3250,1
33,3
3318,1
334,1
34,1
3400,1
3400000,1
342,1
343,1
348,1
349,1
35,4
350,1
36,3
360,5
36030,1
36067,1
370,1
373,1
374,1
38,3
39,3
395,1
3950,1
3rd,2
3x5,1
4,42
40,11
400,3
4000,1
40000,1
400000,4
4020,1
403,1
405,1
408,1
4081,2
41,2
410,1
41000,1
419000,1
4191,2
42,3
42165,1
43,1
435,1
43875,1
44,3
45,5
450,1
456,1
46,4
4600,1
461,1
47,2
4700,1
471,1
472,1
4727,1
473,1
48,3
48000,1
48856,1
489,1
49,2
493,1
5,29
50,14
500,3
5000,2
50000,4
500000,1
5013,1
5020,1
51,2
511,1
52,1
523,1
529,1
529893,1
53,1
53000,1
5343,1
54,2
542,1
55,5
5542,1
56,3
56380,1
57,1
570,1
572,1
58,3
5820,1
5860,2
5861,1
59,4
591,1
59357,1
594,1
5x6,1
5x8,1
6,28
60,7
600,1
604,1
608,1
60s,1
61,1
610,1
62,1
62110,1
627,1
63,1
6300,1
6313,1
64,4
647,1
657c,1
66,1
6600,1
66000,1
669204,1
68,2
69,2
6b,2
6c,2
7,7
70,4
704,1
7090,1
7094,2
70s,2
716,1
72,3
722,1
73,7
75,6
752,1
7525,1
76,1
766,2
77,1
771,1
78,4
7878,1
789,1
79,2
79831,1
8,8
80,7
800,1
8000,2
800000,1
8020,1
81,3
8186,1
82,3
822,1
83,1
833,2
84,2
843,1
85,4
857725,1
86,5
87,4
870,2
878,1
88,2
9,9
90,12
9000,1
9077,1
91,2
92,1
928,1
93,4
94,1
95,2
953,1
96,2
97,3
98,2
9867,1
99,5
990,1
997,1
9th,2
aacr,7
aacrthere,1
abandon,1
abandonment,1
abandons,1
abbreviated,3
abbreviating,2
abbreviation,2
abbreviations,4
aberrystwyth,1
abidjan,1
abilities,1
ability,25
able,30
ably,2
abno,2
abnormality,1
abolished,1
abolishing,1
abortive,1
aboutness,1
abrades,1
abreast,1
abridged,4
abroad,5
absence,10
absent,2
absolute,1
absolutely,2
absorption,1
abstract,55
abstracted,10
abstracting,44
abstractingindexing,1
abstraction,1
abstractive,1
abstractly,2
abstractors,4
abstracts,136
abstruse,2
absurd,1
abundance,3
abundant,1
abundantly,1
academia,1
academic,129
academicians,1
academy,5
accademia,1
accelerate,1
accelerated,3
acceleration,1
accelerators,1
accentuation,1
accept,9
acceptability,1
acceptable,6
acceptance,15
accepted,25
accepts,2
access,83
accessed,2
accesses,2
accessibility,7
accessible,10
accessibly,2
accessing,2
accession,3
accessioning,1
accident,1
accidentally,1
accommodate,3
accommodated,3
accommodates,2
accommodating,1
accommodation,1
accommodations,1
accompanied,1
accompany,1
accompanying,1
accomplish,8
accomplished,12
accomplishing,2
accomplishment,7
accomplishments,3
accord,2
accordance,4
according,54
accordingly,9
account,51
accountable,1
accounted,7
accounting,10
accounts,7
accredited,3
accrediting,1
accretion,1
accrue,2
accumulate,1
accumulated,7
accumulating,1
accumulation,5
accumulative,5
accuracy,12
accurate,10
accurately,7
accustomed,1
achievable,2
achieve,10
achieved,19
achievement,5
achievements,4
achieves,1
achieving,6
acknowledge,1
acknowledged,2
acknowledgement,1
acknowledges,2
acknowledging,1
acquaint,2
acquaintance,1
acquainted,1
acquainting,1
acquire,6
acquired,8
acquires,3
acquiring,8
acquisition,34
acquisitionaccounting,1
acquisitions,28
acquisitition,1
acronym,2
across,7
acs,3
act,17
acted,1
acting,5
action,36
actions,9
active,23
actively,4
activeness,1
activism,1
activist,1
activities,94
activity,45
acts,11
actual,49
actualities,3
actually,17
acumen,1
acute,1
acyclic,3
ad,15
ad695049,1
adapt,3
adaptability,3
adaptable,1
adaptation,3
adapted,7
adapting,4
adaption,1
adaptive,2
adaptively,1
adapts,1
add,11
added,13
adding,9
addition,50
additional,27
additionally,1
additive,2
address,4
addressed,13
addresses,5
addressing,3
adds,3
adduced,1
adequacy,6
adequate,31
adequately,16
adhere,2
adhered,1
adi,2
adjective,5
adjoining,1
adjudge,1
adjunct,2
adjust,1
adjusting,2
adjustments,1
adler,1
administer,1
administered,2
administrate,1
administration,36
administrative,17
administrator,9
administrators,23
admirably,2
admiration,1
admires,1
admits,1
admitted,3
admittedly,2
admonition,1
adopt,7
adopted,16
adopting,9
adoption,9
adp,1
adult,8
adults,1
adumbrated,1
advance,18
advanced,26
advancement,6
advances,27
advancing,6
advantage,14
advantageous,2
advantages,32
advent,6
adventurer,1
adventures,2
advice,4
advised,3
advisee,1
advisor,1
advisors,1
advisory,6
advocated,2
advocates,3
advocating,2
aegis,1
aeronautical,1
aeronautics,1
aerospace,2
aesthetic,3
affairs,4
affect,22
affected,9
affecting,14
affections,1
affects,6
affiliated,1
affiliation,1
affirmative,1
affirmatively,1
afflicting,1
affluence,3
afford,6
afforded,2
affords,1
aforementioned,2
africa,2
african,3
afterthoughts,1
afterwards,1
agard,1
agdoc,1
age,42
agencies,20
agency,6
agent,3
agents,1
ages,4
aggrandizement,1
aggregate,6
aggression,6
aggressive,2
aggressivity,1
aging,4
ago,18
agree,10
agreed,5
agreement,16
agreements,2
agricultural,3
ahead,3
ai,2
aid,39
aided,10
aids,14
aim,28
aimed,13
aiming,1
aims,17
aip,3
aips,1
air,2
airplane,2
aj,1
ajt,2
akin,1
aktiengesellschaft,1
al,3
ala,8
alan,1
alarming,1
albany,2
alberta,1
alchemy,1
alcohol,2
aldermaston,1
alert,7
alerting,9
alexandria,2
alexandrian,1
alfred,1
algebra,6
algebraic,10
algebraists,1
algebras,2
algorithm,35
algorithmic,5
algorithmization,1
algorithms,8
alice,1
alien,1
alienation,1
alike,1
alkyl,1
allan,1
allay,1
alleged,1
allegiance,1
alleviated,1
alleviation,1
allied,6
allocate,3
